"site","date","survey_time","start_time","end_time","duration_min","time_of_capture","species_capture","capture_type","life_stage","sex","snout_vent_length","body_mass"
rv pond,2022-05-12,night,,,,,pseudacris crucifer,new,adult,male,25.4,1.0
rv pond,2022-07-11,night,"22:12:00","00:04:00","112","22:47:00",rana catesbeiana,new,adult,female,100.8,118.1
tuttle pond,2022-07-19,night,"21:36:00","22:04:00","28","21:50:00",rana clamitans,,adult,male,,
admin pond,2022-05-20,day,"13:28:00","14:37:00","69","13:36:00",bufo americanus,,,unknown,31.8,3.25
admin pond,2022-05-20,day,"13:28:00","14:37:00","69","13:41:00",pseudacris crucifer,new,adult,unknown,26.2,1.0
admin pond,2022-05-20,day,"13:28:00","14:37:00","69","13:53:00",bufo americanus,,adult,unknown,50.3,14.5
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","21:03:00",rana catesbeiana,recapture,,,51.9,
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","21:09:00",rana pipiens,recapture,,,73.5,
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","21:12:00",rana catesbeiana,recapture,,,40.5,
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","21:17:00",rana catesbeiana,new,juvenile,unknown,53.0,11.75
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","21:21:00",rana catesbeiana,new,juvenile,unknown,56.5,14.75
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","21:25:00",rana pipiens,recapture,,,55.3,
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","21:28:00",rana catesbeiana,recapture,,,48.2,
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","21:32:00",rana pipiens,new,adult,female,49.5,8.5
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","21:37:00",rana pipiens,new,adult,female,57.0,15.0
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","21:45:00",rana catesbeiana,recapture,,,54.2,
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","21:48:00",rana catesbeiana,recapture,,,52.3,
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","21:52:00",rana catesbeiana,new,juvenile,unknown,58.8,14.5
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","21:55:00",rana catesbeiana,recapture,,,52.9,
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","22:03:00",rana catesbeiana,recapture,,,47.8,
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","22:21:00",rana pipiens,recapture,,,79.1,
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","22:24:00",rana catesbeiana,recapture,,,47.0,
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","22:31:00",rana catesbeiana,new,adult,female,66.1,31.7
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","22:34:00",rana catesbeiana,new,juvenile,unknown,57.3,16.5
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","22:37:00",rana catesbeiana,new,juvenile,unknown,58.6,18.55
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","22:41:00",rana catesbeiana,new,juvenile,unknown,52.0,14.5
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","21:08:00",pseudacris crucifer,new,adult,male,27.1,1.0
rv pond,2022-06-08,night,"21:11:00","22:02:00","51","21:35:00",hyla versicolor,,adult,male,48.8,8.0
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","21:11:00",pseudacris crucifer,new,adult,male,26.6,1.0
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","21:18:00",pseudacris crucifer,new,adult,male,25.8,1.0
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","21:34:00",rana catesbeiana,recapture,,,55.6,
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","21:43:00",rana catesbeiana,new,adult,female,71.0,31.5
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","21:47:00",rana pipiens,new,adult,female,66.5,22.5
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","22:20:00",rana catesbeiana,new,juvenile,unknown,55.9,15.6
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","22:40:00",rana catesbeiana,new,juvenile,unknown,52.8,11.25
admin pond,2022-05-19,night,"19:31:00","22:59:00","208","22:57:00",rana catesbeiana,new,juvenile,unknown,57.2,14.5
admin pond,2022-05-20,day,"13:28:00","14:37:00","69","13:30:00",bufo americanus,,,unknown,32.4,3.75
admin pond,2022-05-20,day,"13:28:00","14:37:00","69","14:15:00",bufo americanus,,,unknown,35.6,3.75
admin pond,2022-05-20,day,"13:28:00","14:37:00","69","14:18:00",bufo americanus,,,unknown,36.1,4.75
rv pond,2022-06-07,night,"21:25:00","23:07:00","102","22:35:00",rana catesbeiana,new,,,,
rv pond,2022-06-07,night,"21:25:00","23:07:00","102","22:49:00",rana catesbeiana,new,,,,
rv pond,2022-06-07,night,"21:25:00","23:07:00","102","22:14:00",hyla versicolor,,,,,
rv pond,2022-06-07,night,"21:25:00","23:07:00","102","22:19:00",hyla versicolor,,,,,
rv pond,2022-06-07,night,"21:25:00","23:07:00","102","23:05:00",hyla versicolor,,,,,
rv pond,2022-06-07,night,"21:25:00","23:07:00","102","21:53:00",rana catesbeiana,new,adult,female,119.5,200.0
rv pond,2022-06-07,night,"21:25:00","23:07:00","102","23:00:00",rana clamitans,,,,,
